company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,company_code,stck_ann,next_day
N T P C Ltd.,2008-09-30 00:00:00,143.12,8245464400,2,2008,99800.3,82957,21105.1,2008-10-24 00:00:00,0,NTPC,,
Tata Power Co. Ltd.,2008-09-30 00:00:00,87.44,221387734,2,2008,19588.8,18853.8,2619.3,2008-10-27 00:00:00,0,tataPower,,
Oil & Natural Gas Corpn. Ltd.,2008-09-30 00:00:00,172.59,2138872530,2,2008,174996.2,140371.5,48084.1,2008-10-30 00:00:00,0,ONGC,,
Power Grid Corpn. Of India Ltd.,2008-09-30 00:00:00,64.31,4208841230,2,2008,15876.9,12765.4,3964.3,2008-10-31 00:00:00,0,powerGrid,,
Indian Oil Corpn. Ltd.,2008-09-30 00:00:00,33.76,1192374306,2,2008,864663,958672.9,-70471.3,2008-10-31 00:00:00,0,IOC,,
Reliance Industries Ltd.,2008-12-31 00:00:00,304.66,1573797633,3,2008,295640,228310,34620,2009-01-22 00:00:00,1,Reliance,,
N T P C Ltd.,2008-12-31 00:00:00,150.83,8245464400,3,2008,113396.5,98774.3,22509.1,2009-01-24 00:00:00,0,NTPC,,
G A I L (India) Ltd.,2008-12-31 00:00:00,38.63,1268477400,3,2008,58160.2,57308.9,2533.6,2009-01-27 00:00:00,0,GAIL,,
Power Grid Corpn. Of India Ltd.,2008-12-31 00:00:00,62.4,4208841230,3,2008,14774.4,11959.7,3723.5,2009-01-28 00:00:00,0,powerGrid,,
Oil & Natural Gas Corpn. Ltd.,2008-12-31 00:00:00,111.28,2138872530,3,2008,126201.4,116054.3,24748.1,2009-01-28 00:00:00,0,ONGC,,
Tata Power Co. Ltd.,2008-12-31 00:00:00,72.22,221387734,3,2008,17768.7,17077.9,1150.8,2009-01-29 00:00:00,0,tataPower,,
Indian Oil Corpn. Ltd.,2008-12-31 00:00:00,35.52,1192374306,3,2008,705340.6,643297,29585.9,2009-01-30 00:00:00,0,IOC,,
Reliance Industries Ltd.,2009-03-31 00:00:00,377.21,1573798233,4,2008,260820,236460,39550,2009-04-23 00:00:00,1,Reliance,,
N T P C Ltd.,2009-03-31 00:00:00,150.17,8245464400,4,2008,121877.4,104985.5,21133.5,2009-05-22 00:00:00,0,NTPC,,
Power Grid Corpn. Of India Ltd.,2009-03-31 00:00:00,71.74,4208841230,4,2008,22498.9,17182.7,6161.4,2009-05-29 00:00:00,0,powerGrid,,
Indian Oil Corpn. Ltd.,2009-03-31 00:00:00,32.28,1192374306,4,2008,599377.3,523492.1,66229.6,2009-05-29 00:00:00,0,IOC,,
Tata Power Co. Ltd.,2009-03-31 00:00:00,73.85,221424443,4,2008,14743.5,14304.3,3546.4,2009-06-06 00:00:00,0,tataPower,,
G A I L (India) Ltd.,2009-03-31 00:00:00,45.8,1268477400,4,2008,62578.2,57385.8,6300.2,2009-06-15 00:00:00,0,GAIL,,
Oil & Natural Gas Corpn. Ltd.,2009-03-31 00:00:00,129.95,2138872530,4,2008,141334.3,137116.8,22067.6,2009-06-24 00:00:00,0,ONGC,,
Oil & Natural Gas Corpn. Ltd.,2009-06-30 00:00:00,177.85,2138872530,1,2009,151361.1,111959.8,48479.2,2009-07-23 00:00:00,1,ONGC,,
Reliance Industries Ltd.,2009-06-30 00:00:00,501.07,1573869406,1,2009,311870,313860,36660,2009-07-24 00:00:00,0,Reliance,,
G A I L (India) Ltd.,2009-06-30 00:00:00,53.99,1268477400,1,2009,60591.4,54248.4,6558.4,2009-07-25 00:00:00,0,GAIL,,
Power Grid Corpn. Of India Ltd.,2009-06-30 00:00:00,82.01,4208841230,1,2009,17142.2,12771.1,5466.1,2009-07-29 00:00:00,0,powerGrid,,
Indian Oil Corpn. Ltd.,2009-06-30 00:00:00,44.34,1213976241,1,2009,591795.9,581637.8,36828.3,2009-07-30 00:00:00,0,IOC,,
Tata Power Co. Ltd.,2009-06-30 00:00:00,110.95,222009156,1,2009,20156.2,17461.2,3770.8,2009-07-31 00:00:00,0,tataPower,,
N T P C Ltd.,2009-06-30 00:00:00,162.54,8245464400,1,2009,125301.8,105875.5,21936.2,2009-09-27 00:00:00,0,NTPC,,
N T P C Ltd.,2009-09-30 00:00:00,178.08,8245464400,2,2009,112515.1,93718.4,21519.5,2009-10-23 00:00:00,1,NTPC,,
Power Grid Corpn. Of India Ltd.,2009-09-30 00:00:00,82.46,4208841230,2,2009,17013,13424.3,4599.7,2009-10-28 00:00:00,0,powerGrid,,
G A I L (India) Ltd.,2009-09-30 00:00:00,67.28,1268477400,2,2009,62454.6,56654.5,7132.3,2009-10-28 00:00:00,0,GAIL,,
Oil & Natural Gas Corpn. Ltd.,2009-09-30 00:00:00,195.22,2138872530,2,2009,153379.3,112851.6,50896.4,2009-10-29 00:00:00,0,ONGC,,
Reliance Industries Ltd.,2009-09-30 00:00:00,545.11,1643122029,2,2009,468480,464280,38520,2009-10-29 00:00:00,0,Reliance,,
Indian Oil Corpn. Ltd.,2009-09-30 00:00:00,56.71,1213976241,2,2009,609697,659150.5,2843.6,2009-10-30 00:00:00,0,IOC,,
Tata Power Co. Ltd.,2009-09-30 00:00:00,127.33,237093221,2,2009,17210.9,16134.1,1831.9,2009-11-27 00:00:00,0,tataPower,,
G A I L (India) Ltd.,2009-12-31 00:00:00,77.46,1268477400,3,2009,62296.2,55040.6,8599.5,2010-01-18 00:00:00,1,GAIL,,
Oil & Natural Gas Corpn. Ltd.,2009-12-31 00:00:00,196.26,2138872530,3,2009,155061.4,124608.6,30535.8,2010-01-21 00:00:00,0,ONGC,,
Reliance Industries Ltd.,2009-12-31 00:00:00,539.57,3270086156,3,2009,568560,515680,40080,2010-01-22 00:00:00,0,Reliance,,
Power Grid Corpn. Of India Ltd.,2009-12-31 00:00:00,82.57,4208841230,3,2009,16906.3,12785.9,4878.4,2010-01-25 00:00:00,0,powerGrid,,
Adani Power Ltd.,2009-12-31 00:00:00,99.1,2180035200,3,2009,2335.9,1611,724.9,2010-01-27 00:00:00,0,Adani,,
Indian Oil Corpn. Ltd.,2009-12-31 00:00:00,51.05,2427952482,3,2009,704253.2,690061.6,6965.9,2010-01-29 00:00:00,0,IOC,,
N T P C Ltd.,2009-12-31 00:00:00,196.42,8245464400,3,2009,115151.4,96053.2,23649.8,2010-01-29 00:00:00,0,NTPC,,
