company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,company_code,stck_ann,next_day
Tata Power Co. Ltd.,2009-12-31 00:00:00,132.97,237188665,3,2009,15665.1,14637.9,1478.9,2010-02-25 00:00:00,0,tataPower,,
Reliance Industries Ltd.,2010-03-31 00:00:00,532.26,3270374360,4,2009,575700,532510,47100,2010-04-23 00:00:00,1,Reliance,,
Adani Power Ltd.,2010-03-31 00:00:00,115.95,2180035200,4,2009,2012.7,1348.9,983.1,2010-04-30 00:00:00,0,Adani,,
G A I L (India) Ltd.,2010-03-31 00:00:00,76.84,1268477400,4,2009,65690.3,58239,9108.2,2010-05-17 00:00:00,0,GAIL,,
N T P C Ltd.,2010-03-31 00:00:00,172.5,8245464400,4,2009,128051.6,111346.3,20176.5,2010-05-17 00:00:00,0,NTPC,,
Oil & Natural Gas Corpn. Ltd.,2010-03-31 00:00:00,183.08,2138872530,4,2009,160023.4,126610,37764.1,2010-05-28 00:00:00,0,ONGC,,
Indian Oil Corpn. Ltd.,2010-03-31 00:00:00,49.46,2427952482,4,2009,784935,752830.9,55567.7,2010-05-28 00:00:00,0,IOC,,
Power Grid Corpn. Of India Ltd.,2010-03-31 00:00:00,80.36,4208841230,4,2009,20213,15660.1,5465.2,2010-05-29 00:00:00,0,powerGrid,,
Tata Power Co. Ltd.,2010-03-31 00:00:00,132.46,237307236,4,2009,17950.5,16177.7,2306,2010-06-06 00:00:00,0,tataPower,,
N T P C Ltd.,2010-06-30 00:00:00,165.96,8245464400,1,2010,129669.9,116744.2,18418.9,2010-07-26 00:00:00,1,NTPC,,
Indian Oil Corpn. Ltd.,2010-06-30 00:00:00,67.1,2427952482,1,2010,719096.2,763673.5,-33883.9,2010-07-26 00:00:00,0,IOC,,
Reliance Industries Ltd.,2010-06-30 00:00:00,538.33,3270714336,1,2010,582280,557050,48510,2010-07-27 00:00:00,0,Reliance,,
Oil & Natural Gas Corpn. Ltd.,2010-06-30 00:00:00,220.07,2138872530,1,2010,138230.1,106614.1,36611.4,2010-07-29 00:00:00,0,ONGC,,
G A I L (India) Ltd.,2010-06-30 00:00:00,87.59,1268477400,1,2010,71157.5,63481.2,8868.8,2010-08-02 00:00:00,0,GAIL,,
Adani Power Ltd.,2010-06-30 00:00:00,126.4,2180035200,1,2010,3531.4,2465.2,1144.8,2010-08-04 00:00:00,0,Adani,,
Power Grid Corpn. Of India Ltd.,2010-06-30 00:00:00,77.78,4208841230,1,2010,19991.2,14477.1,7031.8,2010-08-06 00:00:00,0,powerGrid,,
Tata Power Co. Ltd.,2010-06-30 00:00:00,125.99,237307236,1,2010,18679,17264.6,2689.8,2010-08-12 00:00:00,0,tataPower,,
Power Grid Corpn. Of India Ltd.,2010-09-30 00:00:00,79.88,4208841230,2,2010,21266.3,15845.6,6514,2010-10-20 00:00:00,1,powerGrid,,
Adani Power Ltd.,2010-09-30 00:00:00,134.1,2180035200,2,2010,3951.7,3199,1258.4,2010-10-25 00:00:00,0,Adani,,
N T P C Ltd.,2010-09-30 00:00:00,180.75,8245464400,2,2010,128723.7,132680.8,21073.8,2010-10-26 00:00:00,0,NTPC,,
Oil & Natural Gas Corpn. Ltd.,2010-09-30 00:00:00,233.59,2138872530,2,2010,184302.8,143462.1,53887.7,2010-10-28 00:00:00,0,ONGC,,
Reliance Industries Ltd.,2010-09-30 00:00:00,488.53,3271772463,2,2010,574790,535620,49230,2010-10-30 00:00:00,0,Reliance,,
G A I L (India) Ltd.,2010-09-30 00:00:00,89.18,1268477400,2,2010,81282.2,74100,9235.5,2010-11-03 00:00:00,0,GAIL,,
Tata Power Co. Ltd.,2010-09-30 00:00:00,130.69,237307236,2,2010,16360.7,15778.6,2517.3,2010-11-12 00:00:00,0,tataPower,,
Indian Oil Corpn. Ltd.,2010-09-30 00:00:00,69.75,2427952482,2,2010,773481.3,753635.5,52939.5,2010-11-13 00:00:00,0,IOC,,
