Date,Open,High,Low,Close,Adj Close,Volume
2011-07-26,132.750061,132.750061,128.700058,129.515686,98.762306,118901
2011-07-27,130.500061,130.781311,127.209435,128.840683,98.247566,638271
2011-07-28,130.190689,130.190689,127.814125,128.967255,98.344086,124743
2011-07-29,130.218811,131.864120,128.925064,129.867249,99.030365,157667
2011-08-01,129.867249,131.456314,129.093811,130.612564,99.598694,50232
2011-08-02,130.725067,131.484436,128.826630,129.543808,98.783730,116024
2011-08-03,129.375061,131.006317,129.121933,130.204758,99.287750,152142
2011-08-04,130.781311,133.692261,130.289124,130.907883,99.823921,320390
2011-08-05,129.375061,130.570374,127.125061,128.334442,97.861526,221105
2011-08-08,127.546936,132.370377,124.875061,125.943810,96.038544,718204
2011-08-09,124.031311,126.084435,122.062561,123.131310,93.893875,301286
2011-08-10,125.156311,125.437561,121.500061,123.060997,93.840263,253222
2011-08-11,122.906311,124.537560,122.273499,123.989120,94.548004,126919
2011-08-12,124.467247,126.506310,123.468811,126.028191,96.102890,130044
2011-08-16,128.250061,128.250061,121.654747,122.034439,93.057449,132988
2011-08-17,122.132874,125.310997,121.401627,123.370377,94.877945,171295
2011-08-18,123.750061,124.453186,122.062561,122.990685,94.585930,94339
2011-08-19,121.401627,124.031311,119.910995,120.825058,92.920479,266584
2011-08-22,120.937561,121.725060,115.945374,116.831306,89.849052,349791
2011-08-23,116.718811,117.815681,114.778183,115.945374,89.167740,358883
2011-08-24,116.718811,117.112556,115.073494,115.509430,88.832458,239182
2011-08-25,117.000061,117.000061,115.312553,116.268806,89.416489,179015
2011-08-26,117.281311,118.350060,114.750053,115.523499,88.843307,197198
2011-08-29,116.732872,118.125061,115.875053,117.534431,90.389801,100135
2011-08-30,117.843811,117.942245,114.750053,115.481308,88.810860,203985
2011-09-02,117.281311,119.137558,115.917244,116.606308,89.676041,114876
2011-09-05,117.281311,118.575058,116.578186,117.506310,90.368187,146353
2011-09-06,117.562561,120.937561,117.028183,120.107872,92.368912,269041
2011-09-07,121.500061,121.978188,119.531311,120.023499,92.304024,91139
2011-09-08,120.093811,120.614120,118.209435,118.785995,91.352318,135210
2011-09-09,118.687561,119.179749,116.156311,116.634430,89.697678,212081
2011-09-12,116.367249,116.367249,113.343803,115.045372,88.475594,230908
2011-09-13,116.437561,117.506310,114.370369,115.115685,88.529671,382126
2011-09-14,115.593803,117.562561,113.920372,116.943810,89.935593,325326
2011-09-15,118.125061,122.343811,117.914124,121.457870,93.407127,381482
2011-09-16,122.625061,124.593811,118.420372,119.531311,91.925529,280010
2011-09-19,120.656311,122.315689,119.109436,121.542252,93.472023,102687
2011-09-20,122.343811,123.117249,120.656311,122.807877,94.445328,112735
2011-09-21,122.062561,123.412560,120.656311,121.134438,93.158379,158485
2011-09-22,120.628181,120.628181,117.323494,119.221931,91.687569,105493
2011-09-23,118.968811,119.812561,116.310997,118.364120,91.027878,181347
2011-09-26,118.687561,118.968811,114.525055,115.256310,88.637825,571206
2011-09-27,116.437561,116.634430,115.059433,116.071930,89.265076,325194
2011-09-28,117.843811,119.053185,115.593803,118.518806,91.146843,160323
2011-09-29,118.687561,121.218811,117.351624,120.192245,92.433807,357898
2011-09-30,119.601624,120.361000,115.312553,115.579742,88.886566,451661
2011-10-03,115.312553,118.040688,113.526619,117.675056,90.497948,339793
2011-10-04,117.675056,117.843811,114.918808,115.354744,88.713524,473514
2011-10-05,115.776619,116.564117,112.781303,114.018806,87.686119,183765
2011-10-07,116.409431,117.956306,114.904747,115.481308,88.810860,100871
2011-10-10,116.662560,118.575058,115.312553,118.096931,90.822395,106019
2011-10-11,119.010994,119.531311,116.817245,117.450058,90.324905,76707
2011-10-12,118.125061,118.645370,117.070374,118.082870,90.811592,250698
2011-10-13,119.109436,119.404747,116.634430,117.478180,90.346535,136330
2011-10-14,116.718811,118.406311,116.100060,116.775055,89.805824,140142
2011-10-17,116.775055,117.534431,114.975060,115.467247,88.800049,743352
2011-10-18,114.384430,116.803185,114.215683,116.395370,89.513802,104881
2011-10-19,116.775055,120.290688,116.100060,119.489120,91.893059,171772
2011-10-20,117.703186,118.856308,116.859436,118.673492,91.265800,130449
2011-10-21,118.293808,118.996933,117.028183,117.576622,90.422249,92447
2011-10-24,119.179749,120.361000,118.842247,119.629745,92.001221,88149
2011-10-25,121.528183,122.048500,118.968811,119.700058,92.055275,205468
2011-10-28,121.500061,125.156311,119.109436,120.642250,92.779884,132383
2011-10-31,121.078186,121.500061,118.153183,118.785995,91.352318,160984
2011-11-01,118.125061,120.065681,118.125061,119.081306,91.579445,59790
2011-11-02,119.250061,120.881310,117.421936,117.914124,90.681824,110047
2011-11-03,119.446938,120.515686,118.125061,120.121933,92.379723,167423
2011-11-04,120.937561,121.528183,118.560997,119.348495,91.784927,294342
2011-11-08,119.109436,119.615685,118.265686,118.546936,91.168465,44799
2011-11-09,119.446938,119.446938,116.451622,117.281311,90.195145,193375
2011-11-11,117.281311,117.703186,116.156311,116.789124,89.816643,59207
2011-11-14,116.873497,117.843811,116.746933,117.379745,90.270836,56558
2011-11-15,117.281311,117.464119,113.934433,114.721931,88.226868,83125
2011-11-16,115.031303,115.031303,107.226616,110.292244,84.820213,398382
2011-11-17,111.093803,111.375053,108.000053,109.012550,83.836060,297233
2011-11-18,108.576614,108.576614,104.062553,107.325050,82.538284,501123
2011-11-21,107.437553,108.267242,104.582863,105.159424,80.872818,900621
2011-11-22,104.625053,106.312553,103.218803,104.850052,80.634880,155601
2011-11-23,105.187553,107.268806,103.851616,104.920364,80.688972,785848
2011-11-24,105.046928,109.687553,104.906303,108.787552,83.663033,274645
2011-11-25,109.518806,110.081306,107.901619,108.056305,83.100655,245699
2011-11-28,109.968803,110.812553,107.929741,109.434425,84.160522,316906
2011-11-29,109.406303,110.714119,108.660988,109.434425,84.160522,81375
2011-11-30,108.562553,111.009430,108.562553,110.334427,84.852638,91843
2011-12-01,111.909431,112.500053,110.404739,111.642242,85.858421,173077
2011-12-02,111.656303,112.500053,110.671928,112.050056,86.172050,99978
2011-12-05,112.218803,112.950058,110.700058,112.064117,86.182861,54986
2011-12-07,112.471931,113.878181,111.248489,113.160995,87.026421,14533062
2011-12-08,112.781303,112.781303,109.828178,110.868805,85.263596,91651
2011-12-09,109.856300,111.614120,108.885994,110.278183,84.809387,93329
2011-12-12,111.375053,112.500053,108.843803,109.617241,84.301102,210570
2011-12-13,109.406303,110.250053,108.562553,109.701614,84.365982,809908
2011-12-14,110.756302,110.756302,104.512550,105.595367,81.208099,342492
2011-12-15,105.187553,105.328178,102.754738,104.456299,80.332054,168597
2011-12-16,106.031303,108.534431,103.851616,105.960991,81.489265,306915
2011-12-19,105.468803,107.212555,103.471924,106.115677,81.608238,218062
2011-12-20,106.312553,107.929741,105.581299,107.100052,82.365242,512988
2011-12-21,107.704742,110.221931,106.143806,109.476616,84.192947,110040
2011-12-22,108.281303,111.881302,108.281303,110.812553,85.220360,216405
2011-12-23,111.853180,111.853180,109.195366,110.010994,84.603897,41116
2011-12-26,109.996925,111.740677,109.125053,111.093803,85.436653,42606
2011-12-27,110.840683,112.218803,108.885994,110.925056,85.306870,90442
2011-12-28,111.093803,111.810989,109.251617,110.910995,85.296066,97699
2011-12-29,111.093803,111.093803,106.425056,107.620369,82.765411,74154
2011-12-30,107.732864,108.281303,106.045364,108.028175,83.079018,154499
2012-01-02,108.000053,109.968803,106.889114,108.843803,83.706268,90879
2012-01-03,109.406303,111.037552,108.703178,110.376617,84.885086,53162
2012-01-04,110.250053,111.937553,110.165680,110.587555,85.047325,42389
2012-01-05,110.587555,110.770370,106.509430,107.184425,82.430138,445500
2012-01-06,106.818802,108.281303,104.906303,107.634430,82.776215,484284
2012-01-07,null,null,null,null,null,null
2012-01-09,109.687553,109.715675,106.593803,107.296928,82.516670,455146
2012-01-10,107.437553,108.112556,106.875053,107.128181,82.386902,514353
2012-01-11,108.140678,108.140678,106.875053,107.212555,82.451790,432433
2012-01-12,107.859428,109.209427,107.550056,108.492241,83.435913,173852
2012-01-13,109.110992,109.110992,104.653175,105.032867,80.775475,881030
2012-01-16,105.328178,105.440674,103.373489,104.596924,80.440224,400227
2012-01-17,105.187553,105.440674,103.935989,104.132866,80.083351,501813
2012-01-18,104.835991,105.187553,101.306297,102.600052,78.904533,1050225
2012-01-19,102.937553,104.414116,102.670364,103.809425,79.834610,423939
2012-01-20,104.062553,105.609428,102.867241,104.920364,80.688972,215416
2012-01-23,105.159424,105.384430,102.585991,104.048492,80.018456,797226
2012-01-24,104.625053,104.934425,102.937553,103.303177,79.445267,748884
2012-01-25,104.203178,104.343803,102.529739,102.937553,79.597504,357294
2012-01-27,103.500053,105.539116,103.246925,104.976616,81.174217,760088
2012-01-30,104.343803,106.467239,103.218803,103.739113,80.217323,491622
2012-01-31,104.625053,105.440674,103.640678,104.864113,81.087227,263470
2012-02-01,104.625053,106.453178,103.809425,105.890678,81.881035,368895
2012-02-02,106.312553,109.546928,106.059425,109.223495,84.458191,864892
2012-02-03,109.968803,110.770370,109.335991,109.940681,85.012756,350239
2012-02-06,110.250053,111.093803,108.281303,109.490677,84.664780,507349
2012-02-07,109.406303,109.968803,106.059425,106.537552,82.381241,281976
2012-02-08,106.593803,110.784431,106.129738,109.926620,85.001854,454271
2012-02-09,110.531303,111.037552,108.365677,109.392242,84.588654,209543
2012-02-10,109.406303,110.109428,107.282867,108.492241,83.892723,187900
2012-02-13,108.956306,110.615677,108.703178,109.068802,84.338554,378812
2012-02-14,109.687553,110.503181,106.875053,108.435989,83.849213,241706
2012-02-15,109.335991,112.289116,108.562553,111.600052,86.295868,638755
2012-02-16,111.093803,112.781303,108.168800,108.393806,83.816605,353841
2012-02-17,108.956306,109.687553,105.539116,107.085991,82.805336,640735
2012-02-21,107.310989,107.521927,105.946930,107.085991,82.805336,551811
2012-02-22,107.451614,108.182869,104.625053,105.328178,81.446083,311278
2012-02-23,105.215675,106.031303,104.203178,105.032867,81.217720,244803
2012-02-24,105.735992,106.593803,104.934425,105.440674,81.533066,143786
